VID,DOF,TRT,WG,avg_IBW_kg,avg_FBW_kg,ADG_kg,COV_DMI_kg,COV_CH4_g,COV_CO2_g,COV_O2_g,COV_H2_g,COV_RQ_L,COV_CH4_Yield,COV_CH4_Intensity,TRT_DMI_kg,TRT_CH4_g,TRT_CO2_g,TRT_O2_g,TRT_H2_g,Feed_effic,TRT_RQ_L,TRT_CH4_Yield,TRT_CH4_Intensity,HCW_kg,DP,MARB,Cont_Marb,PYG,FAT_in,KPH_percent,REA_in,USDA_YG,Quality_Grade,Quality_Grade_NoPlusMinus,CALC_YG,CXS_Program,Value_per_CWT,Carcass_Value,QQ_cat_numeric,LMA_cm2
2688R,52,IMP,HEAVY,597.62,697.41,1.85,11.01,171.72,11332.85,7923.5,1.21,1.43,15.6,92.92,11.22,178.95,11119.55,7684.22,1.62,6.07,1.05,15.95,96.84,420.94,62.54,MT80,6.8,3.4,0.56,2,14.5,YG3,Choice,Choice,3.1864,CAB,302.5,2807.2,6,93.5482
2723R,52,IMP,HEAVY,587.41,712.15,2.31,9.8,199.76,11825.77,8835.71,1.84,1.34,20.39,86.48,11.57,210.81,11463.62,7634.03,1.89,5.01,1.09,18.22,91.26,405.97,59,MD10,7.1,3.4,0.56,2,13.4,YG3,Choice+,Choice,3.413,CAB,302.5005587,2707.38,7,86.45144
2730R,52,IMP,HEAVY,580.61,665.66,1.57,7.07,220.5,11546.6,8826.67,0.79,1.31,31.19,140,10.01,234.96,10782.84,7365.45,0.98,6.35,1.06,23.47,149.18,382.84,59.63,SM40,5.4,3,0.4,2,13.6,YG2,Choice-,Choice,2.7552,HRI,295.5,2494.02,5,87.74176
2738R,52,IMP,HEAVY,576.07,724.63,2.75,9.14,196.5,11929.33,8510.62,1.76,1.4,21.49,71.43,11.54,224.63,11405.95,7740.49,1.33,4.19,1.07,19.47,81.65,416.4,59.41,MD00,7,3.2,0.48,2,13.9,YG3,Choice+,Choice,3.1404,CAB,302.5,2776.95,7,89.67724
2754R,52,IMP,HEAVY,574.94,691.74,2.16,9.99,227.06,11669.02,7887.48,1.23,1.48,22.73,104.97,10.64,218.44,11115.13,7511.99,1.21,4.92,1.08,20.53,100.99,407.33,60.96,SLA10,8.1,3.5,0.6,2,14.6,YG4,Prime-,Prime,3.1404,HRI,316.5,2842.17,8,94.19336
2755R,52,IMP,HEAVY,549.99,674.73,2.31,8.27,145.25,10627.87,8388.02,1.16,1.27,17.57,62.88,11.04,159.07,10356.77,7201.51,1.75,4.78,1.05,14.41,68.86,409.6,62.8,SLA50,8.5,3.5,0.6,2,14.1,YG3,Prime-,Prime,3.3194,HRI,316.5005537,2858,8,90.96756
2823R,52,IMP,HEAVY,540.92,679.27,2.56,10.8,167.96,10950.39,7646.95,1.36,1.43,15.55,65.56,11.97,191.29,10792.78,7395.18,1.76,4.67,1.06,15.97,74.67,398.71,60.69,MT90,6.9,3.1,0.44,2,14.6,YG2,Choice,Choice,2.6682,CAB,303.5005688,2667.77,6,94.19336
2832R,52,IMP,HEAVY,571.54,694.01,2.27,10.75,148.49,10886.19,7555.71,2.18,1.44,13.82,65.47,11.65,147.13,10057,7189.45,1.22,5.14,1.02,12.63,64.87,401.43,59.86,MD30,7.3,3.6,0.64,2,13.3,YG3,Choice+,Choice,3.607,CAB,302.500565,2677.13,7,85.80628
2557R,80,IMP,LIGHT,527.31,721.22,2.42,10.68,210.74,11596.16,7963.38,1.27,1.46,19.73,86.94,10.65,211.49,11212.31,8264.53,1.74,4.39,0.99,19.85,87.25,424.11,61.25,SM60,5.6,3.6,0.64,2,17.5,YG2,Choice-,Choice,2.453,Angus Pride,298,2786.3,5,112.903
2605R,80,IMP,LIGHT,532.98,754.11,2.76,9.72,206.86,11075.15,7753.74,1.12,1.43,21.28,74.84,11.3,225.61,11591.29,8411.21,0.99,4.09,1,19.97,81.62,431.82,59.65,MT90,6.9,3.4,0.56,2,14.7,YG3,Choice,Choice,3.2136,CAB,303,2884.56,6,94.83852
2632R,80,IMP,LIGHT,514.84,723.49,2.61,10.23,191.69,11157.36,8076.03,1.15,1.38,18.74,73.5,11.89,213.16,11108.01,8402.09,1.19,4.56,0.96,17.93,81.73,406.88,58.58,MT20,6.2,3.3,0.52,2,16.9,YG2,Choice,Choice,2.2006,CAB,304,2726.88,6,109.03204
2659R,80,IMP,LIGHT,522.77,696.28,2.17,7.32,114.38,9889.08,7832,0.61,1.26,15.63,52.74,9.32,199.59,11044.34,8148.71,1.24,4.3,0.99,21.41,92.03,418.67,62.64,SLA00,8,3.5,0.6,2,15.2,YG3,Prime-,Prime,3.0434,HRI,317,2925.91,8,98.06432
2678R,80,IMP,LIGHT,514.84,714.42,2.49,7.99,156.27,9965.73,7975.95,1.7,1.25,19.56,62.64,12.47,197.44,11106.01,8184.54,1.92,5,0.99,15.84,79.14,424.11,61.84,MT50,6.5,3.4,0.56,2,13,YG3,Choice,Choice,3.693,CAB,303,2833.05,6,83.8708
2704R,80,IMP,LIGHT,535.25,734.83,2.49,8.21,136.29,9136.26,7208.1,0.97,1.27,16.61,54.63,11.25,195.71,10300.98,7705.68,1.91,4.51,0.97,17.39,78.45,443.62,62.89,MD30,7.3,2.8,0.32,2,12.3,YG3,Choice+,Choice,3.4804,CAB,303,2963.34,7,79.35468
2729R,80,IMP,LIGHT,531.85,714.42,2.28,11.89,203.25,10656.2,7127.87,1.54,1.5,17.09,89.06,11.12,206.02,10923.92,7985.17,1.31,4.87,0.99,18.52,90.28,413.23,60.25,SLA80,8.8,3.2,0.48,2,13.4,YG3,Prime-,Prime,3.2738,HRI,317,2887.87,8,86.45144
2739R,80,IMP,LIGHT,535.25,731.43,2.45,8.37,164.22,10857.13,8571.73,0.8,1.27,19.63,66.97,10.32,159.33,10654,8056.41,0.98,4.21,0.96,15.45,64.97,421.85,60.08,SLA20,8.2,2.8,0.32,2,15.4,YG2,Prime-,Prime,2.306,HRI,318,2957.4,8,99.35464
2740R,80,IMP,LIGHT,527.31,718.96,2.4,8.06,150.51,9336.63,6946.26,1.3,1.34,18.67,62.83,11.61,179.69,11497.14,8629.04,1.19,4.85,0.97,15.48,75.01,388.73,56.32,MT90,6.9,4.8,1.12,2,11.8,YG5,Choice,Choice,5.1806,CAB,289,2476.73,6,76.12888
2772R,80,IMP,LIGHT,504.63,674.73,2.13,8.61,99.1,9946.55,7810.48,0.94,1.27,11.51,46.61,10.61,138.24,10325.43,7993.37,1.22,4.99,0.94,13.03,65.02,384.2,59.31,MD70,7.7,2.7,0.28,2,14.5,YG2,Choice+,Choice,2.1786,Sterling Silver,296,2507.12,7,93.5482
2808R,80,IMP,LIGHT,520.51,745.04,2.81,11.22,146.05,10593.15,7694.76,1.34,1.38,13.01,52.04,12.18,196.72,11406.09,8569.73,1.09,4.34,0.97,16.15,70.09,433.19,60.57,SM30,5.3,3.3,0.52,2,16,YG2,Choice-,Choice,2.709,HRI,298,2845.9,5,103.2256
2812R,80,IMP,LIGHT,489.89,683.8,2.42,8.73,139.13,8779.35,6273.85,1.39,1.4,15.93,57.4,10.44,180.75,9267,6858.18,1.15,4.31,0.98,17.31,74.57,412.32,62.81,SM30,5.3,3.8,0.72,2,16,YG3,Choice-,Choice,3.0342,HRI,297,2699.73,5,103.2256
2838R,80,IMP,LIGHT,511.43,686.07,2.18,9.4,172.86,10610.35,7540.94,1.09,1.41,18.39,79.19,11.44,218.28,11051.9,8081.93,1.1,5.24,0.99,19.09,99.99,393.27,59.71,SM40,5.4,3.9,0.76,2,13.1,YG4,Choice-,Choice,3.9026,HRI,292,2531.64,5,84.51596
2840R,80,IMP,LIGHT,542.05,735.97,2.42,8.63,168.9,10520.46,8053.87,0.62,1.31,19.57,69.68,10.98,218.25,11018.35,8253.44,1.34,4.53,0.97,19.89,90.04,429.1,60.73,MT00,6,4,0.8,2,13.5,YG4,Choice,Choice,4.1748,CAB,298,2819.08,6,87.0966
2841R,80,IMP,LIGHT,519.37,703.08,2.3,6.9,139.93,9289.7,7349.82,0.64,1.26,20.28,60.93,10.59,190.4,10322.66,7804.69,1.4,4.61,0.96,17.98,82.92,420.48,62.3,MT20,6.2,4.2,0.88,2,14.7,YG4,Choice,Choice,3.9186,CAB,298,2762.46,6,94.83852
